"feature"	"coef_AB"	"pval_AB"	"qval_AB"	"metadata"
"s__Clostridiaceae_bacterium_NSJ_31|t__SGB14839"	NA	1	1	"diagnosis"
"s__Clostridiaceae_bacterium_NSJ_33|t__SGB25547"	NA	1	1	"diagnosis"
"s__Clostridiaceae_bacterium_OM02_2AC|t__SGB4038"	NA	1	1	"diagnosis"
"s__Clostridiaceae_bacterium|t__SGB4269"	-0.823649102311529	0.00332593041559271	0.0444036530857863	"diagnosis"
"s__Clostridiaceae_bacterium|t__SGB4629"	NA	1	1	"diagnosis"
"s__Clostridiaceae_bacterium|t__SGB4721"	0.318172222832888	0.21619318117725	1	"diagnosis"
"s__Clostridiaceae_bacterium|t__SGB4770"	0.67502244112661	0.00834581840520817	0.0993033512010992	"diagnosis"
"s__Clostridiaceae_bacterium|t__SGB6153"	NA	1	1	"diagnosis"
"s__Clostridiaceae_bacterium|t__SGB7256"	0.642318261027834	0.00444669058484462	0.05683525842457	"diagnosis"
"s__Clostridiaceae_bacterium|t__SGB76476"	NA	1	1	"diagnosis"
"s__Clostridiaceae_bacterium|t__SGB77440"	NA	1	1	"diagnosis"
"s__Clostridiaceae_bacterium|t__SGB82499"	0.825565237270905	1	1	"diagnosis"
"s__Clostridiaceae_unclassified_SGB15090|t__SGB15090"	-4.15058516237589	0.000191133600820605	0.00379931124297848	"diagnosis"
"s__Clostridiaceae_unclassified_SGB4747|t__SGB4747"	NA	1	1	"diagnosis"
"s__Clostridiaceae_unclassified_SGB4771|t__SGB4771"	2.60941490133737	8.15971267963274e-08	1.04269471313307e-05	"diagnosis"
"s__Clostridiales_bacterium_1_7_47FAA|t__SGB4763"	1.69984376946374	6.11452490842897e-06	0.000248611024117714	"diagnosis"
"s__Clostridiales_bacterium_BX7|t__SGB72833"	NA	1	1	"diagnosis"
"s__Clostridiales_bacterium_CHKCI006|t__SGB7261"	NA	1	1	"diagnosis"
"s__Clostridiales_bacterium_Choco116|t__SGB15149"	-1.27689982863147	2.35140480493884e-08	3.82423926912326e-06	"diagnosis"
"s__Clostridiales_bacterium_KLE1615|t__SGB5090"	-1.33597995216134	2.21238525158161e-06	0.000119938097426651	"diagnosis"
"s__Clostridiales_bacterium_Marseille_P2846|t__SGB29342"	NA	1	1	"diagnosis"
"s__Clostridiales_bacterium_NSJ_32|t__SGB4438"	NA	1	1	"diagnosis"
"s__Clostridiales_bacterium_NSJ_40|t__SGB72336"	NA	1	1	"diagnosis"
"s__Clostridiales_bacterium_S5_A14a|t__SGB3977"	NA	1	1	"diagnosis"
"s__Clostridiales_bacterium_UBA1390|t__SGB4436"	NA	1	1	"diagnosis"
"s__Clostridiales_bacterium_VE202_01|t__SGB6749"	NA	1	1	"diagnosis"
"s__Clostridiales_bacterium|t__SGB15143"	-0.368169309043118	0.0536594966121011	0.484832522419439	"diagnosis"
"s__Clostridiales_bacterium|t__SGB15146"	NA	1	1	"diagnosis"
"s__Clostridiales_bacterium|t__SGB15158"	0.315332097012466	0.219939078308797	1	"diagnosis"
"s__Clostridiales_bacterium|t__SGB15159"	-0.546352807024994	0.00567684705616515	0.0710201355488074	"diagnosis"
"s__Clostridiales_Family_XIII_bacterium_BX16|t__SGB3957"	NA	1	1	"diagnosis"
"s__Clostridioides_difficile|t__SGB6136"	NA	1	1	"diagnosis"
"s__Clostridium_baratii|t__SGB6194"	NA	1	1	"diagnosis"
"s__Clostridium_butyricum|t__SGB4037"	-3.8158891626265	0.000164831588448974	0.00338946795097947	"diagnosis"
"s__Clostridium_butyricum|t__SGB6170"	NA	1	1	"diagnosis"
"s__Clostridium_cadaveris|t__SGB6155"	NA	1	1	"diagnosis"
"s__Clostridium_celatum|t__SGB6180"	NA	1	1	"diagnosis"
"s__Clostridium_culturomicium|t__SGB6231"	NA	1	1	"diagnosis"
"s__Clostridium_cuniculi|t__SGB29095"	NA	1	1	"diagnosis"
"s__Clostridium_disporicum|t__SGB6172"	NA	1	1	"diagnosis"
"s__Clostridium_fessum|t__SGB4705"	-0.0999438362830048	0.646928652245601	1	"diagnosis"
"s__Clostridium_hylemonae|t__SGB4632"	NA	1	1	"diagnosis"
"s__Clostridium_jeddahense|t__SGB14881"	NA	1	1	"diagnosis"
"s__Clostridium_leptum|t__SGB14853"	-0.55330692080964	0.114455903564261	0.934984527289787	"diagnosis"
"s__Clostridium_massiliamazoniense|t__SGB29082"	NA	1	1	"diagnosis"
"s__Clostridium_methylpentosum|t__SGB14962"	NA	1	1	"diagnosis"
"s__Clostridium_neonatale|t__SGB6169"	4.96872968441987	1	1	"diagnosis"
"s__Clostridium_paraputrificum|t__SGB6187"	NA	1	1	"diagnosis"
"s__Clostridium_perfringens|t__SGB6191"	NA	1	1	"diagnosis"
"s__Clostridium_polynesiense|t__SGB29053"	NA	1	1	"diagnosis"
"s__Clostridium_porci|t__SGB4756"	NA	1	1	"diagnosis"
"s__Clostridium_saudiense|t__SGB6178"	NA	1	1	"diagnosis"
"s__Clostridium_scindens|t__SGB4630"	1.92330460954663	1.20558279009439e-07	1.34799225717429e-05	"diagnosis"
"s__Clostridium_scindens|t__SGB4631"	-4.38331220085895	1	1	"diagnosis"
"s__Clostridium_SGB29100|t__SGB29100"	NA	1	1	"diagnosis"
"s__Clostridium_SGB4648|t__SGB4648"	-0.962994274251736	0.000844780127617748	0.0134938540027513	"diagnosis"
"s__Clostridium_SGB4750|t__SGB4750"	0.667481977543204	0.0125562768541893	0.141787467601245	"diagnosis"
"s__Clostridium_SGB4751|t__SGB4751"	NA	1	1	"diagnosis"
"s__Clostridium_SGB4907|t__SGB4907"	NA	1	1	"diagnosis"
"s__Clostridium_SGB4909|t__SGB4909"	NA	1	1	"diagnosis"
"s__Clostridium_SGB4913|t__SGB4913"	NA	1	1	"diagnosis"
"s__Clostridium_SGB6176|t__SGB6176"	NA	1	1	"diagnosis"
"s__Clostridium_SGB6177|t__SGB6177"	NA	1	1	"diagnosis"
"s__Clostridium_SGB6179|t__SGB6179"	NA	1	1	"diagnosis"
"s__Clostridium_SGB65129|t__SGB65129"	NA	1	1	"diagnosis"
"s__Clostridium_sp_1001270H_150608_G6|t__SGB5111"	NA	1	1	"diagnosis"
"s__Clostridium_sp_1001270J_160509_D11|t__SGB6139"	NA	1	1	"diagnosis"
"s__Clostridium_sp_1001271st1_H5|t__SGB4757"	NA	1	1	"diagnosis"
"s__Clostridium_sp_12_A|t__SGB4730"	NA	1	1	"diagnosis"
"s__Clostridium_sp_AF12_28|t__SGB4715"	NA	1	1	"diagnosis"
"s__Clostridium_sp_AF15_17LB|t__SGB101908"	NA	1	1	"diagnosis"
"s__Clostridium_sp_AF20_17LB|t__SGB4714"	1.46527658503012	7.38368234182937e-05	0.00188230739889172	"diagnosis"
"s__Clostridium_sp_AF27_2AA|t__SGB4712"	-0.00162879449644593	0.99360833797297	1	"diagnosis"
"s__Clostridium_sp_AF32_12BH|t__SGB4710"	NA	1	1	"diagnosis"
"s__Clostridium_sp_AF34_10BH|t__SGB4914"	-0.0250728486644152	0.946475186517323	1	"diagnosis"
"s__Clostridium_sp_AF34_13|t__SGB4659"	NA	1	1	"diagnosis"
"s__Clostridium_sp_AF36_4|t__SGB4644"	-0.406464822726459	0.112774788704323	0.925477509137768	"diagnosis"
"s__Clostridium_sp_AM22_11AC|t__SGB4749"	-0.045848579230088	0.828888573217725	1	"diagnosis"
"s__Clostridium_sp_AM33_3|t__SGB4711"	-0.0138798122831605	0.931728910525821	1	"diagnosis"
"s__Clostridium_sp_AM49_4BH|t__SGB4652"	-1.11109328513934	0.000624913241762504	0.0105468848067275	"diagnosis"
"s__Clostridium_sp_AM58_1XD|t__SGB25539"	NA	1	1	"diagnosis"
"s__Clostridium_sp_ASBs410|t__SGB4733"	NA	1	1	"diagnosis"
"s__Clostridium_sp_AT4|t__SGB4753"	1.83748622373591	1.09922472998451e-06	6.34359045787836e-05	"diagnosis"
"s__Clostridium_sp_C5_48|t__SGB4752"	NA	1	1	"diagnosis"
"s__Clostridium_sp_chh4_2|t__SGB4743"	NA	1	1	"diagnosis"
"s__Clostridium_sp_D5|t__SGB4615"	NA	1	1	"diagnosis"
"s__Clostridium_sp_Marseille_P299|t__SGB29452"	NA	1	1	"diagnosis"
"s__Clostridium_sp_Marseille_P3244|t__SGB29302"	NA	1	1	"diagnosis"
"s__Clostridium_sp_NSJ_42|t__SGB6174"	NA	1	1	"diagnosis"
"s__Clostridium_sp_NSJ_6|t__SGB29097"	NA	1	1	"diagnosis"
"s__Clostridium_sp_OM07_10AC|t__SGB4655"	NA	1	1	"diagnosis"
"s__Clostridium_spiroforme|t__SGB6747"	0.894313200200971	0.000135531941792789	0.00292128486587108	"diagnosis"
"s__Clostridium_sporogenes|t__SGB6221"	NA	1	1	"diagnosis"
"s__Clostridium_symbiosum|t__SGB4699"	-0.935150648837172	3.08249610013236e-05	0.000984747414845855	"diagnosis"
"s__Clostridium_tertium|t__SGB6183"	NA	1	1	"diagnosis"
"s__Clostridium_transplantifaecale|t__SGB29435"	NA	1	1	"diagnosis"
"s__Colibacter_massiliensis|t__SGB5869"	NA	1	1	"diagnosis"
"s__Collinsella_aerofaciens|t__SGB14535_group"	0.0877090473403998	0.770722907152285	1	"diagnosis"
"s__Collinsella_bouchesdurhonensis|t__SGB14397"	NA	1	1	"diagnosis"
"s__Collinsella_intestinalis|t__SGB14741"	-0.123714645066608	0.204627730535377	1	"diagnosis"
"s__Collinsella_phocaeensis|t__SGB109036"	NA	1	1	"diagnosis"
"s__Collinsella_SGB14861|t__SGB14861"	-1.09688050270022	0.00121176348480383	0.0185285886693509	"diagnosis"
"s__Collinsella_SGB14987|t__SGB14987"	NA	1	1	"diagnosis"
"s__Collinsella_SGB15196|t__SGB15196"	NA	1	1	"diagnosis"
"s__Collinsella_SGB1789|t__SGB1789"	NA	1	1	"diagnosis"
"s__Collinsella_SGB4121|t__SGB4121"	-0.759876954406408	2.23724251530901e-05	0.000741190159238485	"diagnosis"
"s__Collinsella_SGB47280|t__SGB47280"	NA	1	1	"diagnosis"
"s__Collinsella_SGB47518|t__SGB47518"	NA	1	1	"diagnosis"
"s__Collinsella_SGB59878|t__SGB59878"	NA	1	1	"diagnosis"
"s__Collinsella_SGB62935|t__SGB62935"	NA	1	1	"diagnosis"
"s__Collinsella_SGB6543|t__SGB6543"	NA	1	1	"diagnosis"
"s__Collinsella_stercoris|t__SGB14740"	3.5098539422259	1	1	"diagnosis"
"s__Collinsella_tanakaei|t__SGB14737"	0.253642838609466	1	1	"diagnosis"
"s__Coprobacillus_cateniformis|t__SGB6771"	NA	1	1	"diagnosis"
"s__Coprobacillus_SGB6753|t__SGB6753"	0.855910109399222	1	1	"diagnosis"
"s__Coprobacter_fastidiosus|t__SGB1963"	-0.658405372062615	0.00281530126257468	0.0384471294560772	"diagnosis"
"s__Coprobacter_secundus|t__SGB1962"	NA	1	1	"diagnosis"
"s__Coprococcus_catus|t__SGB4670"	-0.724480077802804	0.00270938301108526	0.0372852785140887	"diagnosis"
"s__Coprococcus_comes|t__SGB4577"	0.754988780115362	0.0296898923071898	0.295084540764237	"diagnosis"
"s__Coprococcus_eutactus|t__SGB5117"	NA	1	1	"diagnosis"
"s__Coprococcus_eutactus|t__SGB5118"	NA	1	1	"diagnosis"
"s__Coprococcus_eutactus|t__SGB5121"	NA	1	1	"diagnosis"
"s__Coprococcus_SGB26904|t__SGB26904"	NA	1	1	"diagnosis"
"s__Coprococcus_SGB4669|t__SGB4669"	NA	1	1	"diagnosis"
"s__Coprococcus_sp_AF21_14LB|t__SGB25437"	NA	1	1	"diagnosis"
"s__Corynebacterium_aurimucosum|t__SGB17102_group"	NA	1	1	"diagnosis"
"s__Corynebacterium_jeddahense|t__SGB33707"	NA	1	1	"diagnosis"
"s__Corynebacterium_kefirresidentii|t__SGB17100"	NA	1	1	"diagnosis"
"s__Corynebacterium_macginleyi|t__SGB33689"	NA	1	1	"diagnosis"
"s__Corynebacterium_matruchotii|t__SGB17007"	NA	1	1	"diagnosis"
"s__Corynebacterium_oculi|t__SGB17078"	NA	1	1	"diagnosis"
"s__Corynebacterium_SGB1898|t__SGB1898"	NA	1	1	"diagnosis"
"s__Corynebacterium_SGB6369|t__SGB6369"	NA	1	1	"diagnosis"
"s__Corynebacterium_SGB6370|t__SGB6370"	NA	1	1	"diagnosis"
"s__Corynebacterium_SGB6371|t__SGB6371"	NA	1	1	"diagnosis"
"s__Corynebacterium_SGB6372|t__SGB6372"	NA	1	1	"diagnosis"
"s__Corynebacterium_SGB86804|t__SGB86804"	NA	1	1	"diagnosis"
"s__Cronobacter_sakazakii|t__SGB10090"	NA	1	1	"diagnosis"
"s__Cryobacterium_SGB4870|t__SGB4870"	NA	1	1	"diagnosis"
"s__Cuneatibacter_caecimuris|t__SGB29380"	NA	1	1	"diagnosis"
"s__Cutibacterium_acnes|t__SGB16955"	NA	1	1	"diagnosis"
"s__Dakarella_massiliensis|t__SGB9271"	NA	1	1	"diagnosis"
"s__Dakarella_SGB14198|t__SGB14198"	NA	1	1	"diagnosis"
"s__Dellaglioa_algida|t__SGB7252"	NA	1	1	"diagnosis"
"s__Desulfovibrio_desulfuricans|t__SGB15463"	NA	1	1	"diagnosis"
"s__Desulfovibrio_fairfieldensis|t__SGB15470"	NA	1	1	"diagnosis"
"s__Desulfovibrio_legallii|t__SGB15469"	NA	1	1	"diagnosis"
"s__Desulfovibrio_piger|t__SGB15465"	NA	1	1	"diagnosis"
"s__Desulfovibrio_piger|t__SGB15467"	NA	1	1	"diagnosis"
"s__Desulfovibrio_porci|t__SGB15471"	NA	1	1	"diagnosis"
"s__Desulfovibrio_SGB5076|t__SGB5076"	-0.453228501000235	0.0491816569424508	0.453536001391982	"diagnosis"
"s__Desulfovibrio_SGB5077|t__SGB5077"	1.41762228264804	5.2383006365054e-09	9.37131983870815e-07	"diagnosis"
"s__Dialister_hominis|t__SGB5803_group"	-0.550972121304477	0.00909276320785415	0.106319956724517	"diagnosis"
"s__Dialister_invisus|t__SGB5825_group"	0.278324456622194	0.550155659057861	1	"diagnosis"
"s__Dialister_micraerophilus|t__SGB5840"	NA	1	1	"diagnosis"
"s__Dialister_pneumosintes|t__SGB5842"	3.31128779002849	1.32597242239286e-05	0.000456185512242468	"diagnosis"
"s__Dielma_fastidiosa|t__SGB4031"	0.265752767485457	0.115049519602774	0.935561775315284	"diagnosis"
"s__Dorea_formicigenerans|t__SGB4575"	-0.113071308820445	0.566801640132899	1	"diagnosis"
"s__Dorea_longicatena|t__SGB4581"	1.15203349754326	0.000458489709924744	0.00804154991230751	"diagnosis"
"s__Dorea_longicatena|t__SGB4582"	0.0792737374981773	0.771981680113223	1	"diagnosis"
"s__Dorea_phocaeensis|t__SGB4572"	NA	1	1	"diagnosis"
"s__Dorea_sp_AF24_7LB|t__SGB4571"	1.14322569074014	2.81273610216583e-06	0.000135999591534451	"diagnosis"
"s__Dorea_sp_AF36_15AT|t__SGB4552"	NA	1	1	"diagnosis"
"s__Drancourtella_sp_An177|t__SGB4618"	NA	1	1	"diagnosis"
"s__Drancourtella_sp_An57|t__SGB4619"	NA	1	1	"diagnosis"
"s__Duodenibacillus_massiliensis|t__SGB9273"	NA	1	1	"diagnosis"
"s__Dysgonomonas_capnocytophagoides|t__SGB1769"	NA	1	1	"diagnosis"
"s__Dysgonomonas_gadei|t__SGB1774"	NA	1	1	"diagnosis"
"s__Dysgonomonas_mossii|t__SGB1772"	NA	1	1	"diagnosis"
"s__Dysosmobacter_SGB15074|t__SGB15074"	NA	1	1	"diagnosis"
"s__Dysosmobacter_sp_BX15|t__SGB15053"	-0.351010984086658	0.0865003744808791	0.726521924630482	"diagnosis"
"s__Dysosmobacter_sp_Marseille_Q4140|t__SGB53706"	NA	1	1	"diagnosis"
"s__Dysosmobacter_sp_NSJ_60|t__SGB15124"	0.954740758398371	0.000677206970633518	0.0110138479133033	"diagnosis"
"s__Dysosmobacter_welbionis|t__SGB15078"	0.100854920927801	0.764354052999769	1	"diagnosis"
"s__Eggerthella_lenta|t__SGB14809"	NA	1	1	"diagnosis"
"s__Eggerthella_sinensis|t__SGB14810"	NA	1	1	"diagnosis"
"s__Eikenella_corrodens|t__SGB9434_group"	NA	1	1	"diagnosis"
"s__Eisenbergiella_massiliensis|t__SGB4987"	0.55246677928355	0.097963839127226	0.811376426845404	"diagnosis"
"s__Eisenbergiella_sp_OF01_20|t__SGB4989"	NA	1	1	"diagnosis"
"s__Eisenbergiella_tayi|t__SGB4988"	0.296162986679258	0.0413186291292763	0.397414126410082	"diagnosis"
"s__Ellagibacter_isourolithinifaciens|t__SGB14816_group"	NA	1	1	"diagnosis"
"s__Emergencia_sp_1XD21_50|t__SGB82512"	NA	1	1	"diagnosis"
"s__Emergencia_timonensis|t__SGB3970"	0.0969023809379288	1	1	"diagnosis"
"s__Enorma_burkinafasonensis|t__SGB86218"	NA	1	1	"diagnosis"
"s__Enorma_massiliensis|t__SGB14749"	NA	1	1	"diagnosis"
"s__Enterobacter_asburiae|t__SGB10141"	NA	1	1	"diagnosis"
"s__Enterobacter_cancerogenus|t__SGB10128"	NA	1	1	"diagnosis"
"s__Enterobacter_cloacae|t__SGB10131"	NA	1	1	"diagnosis"
"s__Enterobacter_hormaechei|t__SGB10130"	NA	1	1	"diagnosis"
"s__Enterobacter_kobei|t__SGB10133"	NA	1	1	"diagnosis"
"s__Enterobacter_ludwigii|t__SGB10127"	NA	1	1	"diagnosis"
"s__Enterobacter_mori|t__SGB10132"	NA	1	1	"diagnosis"
"s__Enterobacter_roggenkampii|t__SGB10139"	NA	1	1	"diagnosis"
"s__Enterobacter_timonensis|t__SGB31185"	NA	1	1	"diagnosis"
"s__Enterocloster_aldenensis|t__SGB4762"	-0.837210482011821	1.92942676417487e-05	0.000651272543605443	"diagnosis"
"s__Enterocloster_asparagiformis|t__SGB4724"	2.57886042196094	1.262931498762e-05	0.000443016559075533	"diagnosis"
"s__Enterocloster_bolteae|t__SGB4758"	0.669284619778715	0.0463606504750115	0.431975019269768	"diagnosis"
"s__Enterocloster_citroniae|t__SGB4761"	1.60198896957082	1.40666244717457e-07	1.48030536352665e-05	"diagnosis"
"s__Enterocloster_clostridioformis|t__SGB4759"	NA	1	1	"diagnosis"
"s__Enterocloster_clostridioformis|t__SGB4760"	0.871073284640902	0.00125793355179181	0.0190715518996233	"diagnosis"
"s__Enterocloster_lavalensis|t__SGB4725"	-0.789970651855331	5.89845575320586e-05	0.00159883899128565	"diagnosis"
"s__Enterocloster_SGB14313|t__SGB14313"	NA	1	1	"diagnosis"
"s__Enterococcus_asini|t__SGB49088"	NA	1	1	"diagnosis"
"s__Enterococcus_asini|t__SGB7927"	NA	1	1	"diagnosis"
"s__Enterococcus_avium|t__SGB7931"	NA	1	1	"diagnosis"
"s__Enterococcus_casseliflavus|t__SGB7952"	NA	1	1	"diagnosis"
"s__Enterococcus_dispar|t__SGB7957"	NA	1	1	"diagnosis"
"s__Enterococcus_durans|t__SGB7966"	NA	1	1	"diagnosis"
"s__Enterococcus_faecalis|t__SGB7962"	NA	1	1	"diagnosis"
"s__Enterococcus_faecium|t__SGB7967"	NA	1	1	"diagnosis"
"s__Enterococcus_faecium|t__SGB7968"	NA	1	1	"diagnosis"
"s__Enterococcus_gallinarum|t__SGB7951"	NA	1	1	"diagnosis"
"s__Enterococcus_hirae|t__SGB7970"	NA	1	1	"diagnosis"
"s__Enterococcus_hulanensis|t__SGB7933"	NA	1	1	"diagnosis"
"s__Enterococcus_mediterraneensis|t__SGB29891"	NA	1	1	"diagnosis"
"s__Enterococcus_mundtii|t__SGB7963"	NA	1	1	"diagnosis"
"s__Enterococcus_pseudoavium|t__SGB25240"	NA	1	1	"diagnosis"
"s__Enterococcus_raffinosus|t__SGB7930"	NA	1	1	"diagnosis"
"s__Enterococcus_SGB6173|t__SGB6173"	NA	1	1	"diagnosis"
"s__Enterococcus_thailandicus|t__SGB7965"	NA	1	1	"diagnosis"
"s__Enteroscipio_rubneri|t__SGB14803"	NA	1	1	"diagnosis"
"s__Erysipelatoclostridium_ramosum|t__SGB6744"	-1.79425350046932	1.59743446135307e-09	4.08258607337235e-07	"diagnosis"
"s__Erysipelatoclostridium_sp_An15|t__SGB6746"	NA	1	1	"diagnosis"
"s__Erysipelotrichaceae_bacterium_3_1_53|t__SGB4036"	NA	1	1	"diagnosis"
"s__Erysipelotrichaceae_bacterium_7770_A6|t__SGB6836"	NA	1	1	"diagnosis"
"s__Escherichia_coli|t__SGB10068"	0.350028307054704	0.346289202601223	1	"diagnosis"
"s__Escherichia_marmotae|t__SGB10064"	-2.43012112468982	0.010558910889165	0.122661633641015	"diagnosis"
"s__Eubacteriaceae_bacterium_CHKCI004|t__SGB4682"	NA	1	1	"diagnosis"
"s__Eubacteriaceae_bacterium_Marseille_Q4139|t__SGB4718"	NA	1	1	"diagnosis"
"s__Eubacteriaceae_bacterium|t__SGB3958"	NA	1	1	"diagnosis"
"s__Eubacteriaceae_bacterium|t__SGB3972"	NA	1	1	"diagnosis"
"s__Eubacteriaceae_bacterium|t__SGB4546"	NA	1	1	"diagnosis"
"s__Eubacteriaceae_bacterium|t__SGB5043"	NA	1	1	"diagnosis"
"s__Eubacteriales_Family_XIII_Incertae_Sedis_unclassified_SGB71368|t__SGB71368"	NA	1	1	"diagnosis"
"s__Eubacteriales_unclassified_SGB15145|t__SGB15145"	-0.0201015615727664	0.835189428844614	1	"diagnosis"
"s__Eubacteriales_unclassified_SGB4861|t__SGB4861"	NA	1	1	"diagnosis"
"s__Eubacteriales_unclassified_SGB71281|t__SGB71281"	NA	1	1	"diagnosis"
"s__Eubacterium_brachy|t__SGB3931"	NA	1	1	"diagnosis"
"s__Eubacterium_callanderi|t__SGB4080"	NA	1	1	"diagnosis"
"s__Eubacterium_coprostanoligenes|t__SGB4330"	NA	1	1	"diagnosis"
"s__Eubacterium_infirmum|t__SGB3936"	NA	1	1	"diagnosis"
"s__Eubacterium_ramulus|t__SGB4959"	0.569943232685384	0.0135826371414029	0.149995912629444	"diagnosis"
"s__Eubacterium_ramulus|t__SGB4960"	NA	1	1	"diagnosis"
"s__Eubacterium_rectale|t__SGB4933"	-0.549561199235247	0.121678431684774	0.984989657393937	"diagnosis"
"s__Eubacterium_SGB4329|t__SGB4329"	NA	1	1	"diagnosis"
"s__Eubacterium_SGB4671|t__SGB4671"	NA	1	1	"diagnosis"
"s__Eubacterium_SGB4961|t__SGB4961"	NA	1	1	"diagnosis"
"s__Eubacterium_SGB6276|t__SGB6276"	NA	1	1	"diagnosis"
"s__Eubacterium_siraeum|t__SGB4198"	1.96109787775594	7.99660364329848e-07	5.10925854209321e-05	"diagnosis"
"s__Eubacterium_sp_AF16_48|t__SGB5042"	-0.489689007444511	0.00373680664343993	0.0491554932728973	"diagnosis"
"s__Eubacterium_sp_AF22_9|t__SGB5083"	NA	1	1	"diagnosis"
"s__Eubacterium_sp_AF34_35BH|t__SGB5051"	-1.36686911308005	2.48684751179397e-07	2.03547413504374e-05	"diagnosis"
"s__Eubacterium_sp_An11|t__SGB4681"	NA	1	1	"diagnosis"
"s__Eubacterium_sp_ER2|t__SGB4624"	NA	1	1	"diagnosis"
"s__Eubacterium_tenue|t__SGB6145"	NA	1	1	"diagnosis"
"s__Eubacterium_ventriosum|t__SGB5045"	-0.0319119284261664	0.871806121385165	1	"diagnosis"
"s__Evtepia_gabavorous|t__SGB15120"	-0.0505143243773879	0.788376545571473	1	"diagnosis"
"s__Extibacter_muris|t__SGB4633"	NA	1	1	"diagnosis"
"s__Ezakiella_coagulans|t__SGB6728"	NA	1	1	"diagnosis"
"s__Ezakiella_SGB6726|t__SGB6726"	NA	1	1	"diagnosis"
"s__Faecalibacillus_faecis|t__SGB6750"	1.03782892680193	0.00188094535796653	0.0267064384555725	"diagnosis"
"s__Faecalibacillus_intestinalis|t__SGB6754"	0.979893375311336	9.54292385671486e-05	0.00230706632157607	"diagnosis"
"s__Faecalibacterium_prausnitzii|t__SGB15316"	0.209774189403442	0.582102586999247	1	"diagnosis"
"s__Faecalibacterium_prausnitzii|t__SGB15317"	-0.0206848363835014	0.938658683219974	1	"diagnosis"
"s__Faecalibacterium_prausnitzii|t__SGB15318"	-0.170969006414146	0.655790365975125	1	"diagnosis"
"s__Faecalibacterium_prausnitzii|t__SGB15322"	NA	1	1	"diagnosis"
"s__Faecalibacterium_prausnitzii|t__SGB15323"	4.57981816745949	7.91373974924534e-07	5.10925854209321e-05	"diagnosis"
"s__Faecalibacterium_prausnitzii|t__SGB15326"	0.184883136034638	0.492552349683895	1	"diagnosis"
"s__Faecalibacterium_prausnitzii|t__SGB15332"	0.261374235155589	0.540661128128464	1	"diagnosis"
"s__Faecalibacterium_prausnitzii|t__SGB15333"	NA	1	1	"diagnosis"
"s__Faecalibacterium_prausnitzii|t__SGB15342"	-0.25769428863889	0.465667047471135	1	"diagnosis"
"s__Faecalibacterium_SGB15315|t__SGB15315"	0.742671076855711	0.0560608595631986	0.503984310344534	"diagnosis"
"s__Faecalibacterium_SGB15346|t__SGB15346"	1.1528945916776	0.00611377807108008	0.075431372201119	"diagnosis"
"s__Faecalicatena_contorta|t__SGB4613"	NA	1	1	"diagnosis"
"s__Faecalicatena_fissicatena|t__SGB4871"	0.433651651417123	0.0785948681916187	0.675991438436567	"diagnosis"
"s__Faecalicatena_orotica|t__SGB4616"	NA	1	1	"diagnosis"
"s__Faecalicatena_SGB4872|t__SGB4872"	NA	1	1	"diagnosis"
"s__Faecalicoccus_pleomorphus|t__SGB6792"	NA	1	1	"diagnosis"
"s__Faecalicoccus_SGB6321|t__SGB6321"	NA	1	1	"diagnosis"
"s__Faecalimonas_umbilicata|t__SGB4583"	NA	1	1	"diagnosis"
"s__Faecalitalea_cylindroides|t__SGB6790"	NA	1	1	"diagnosis"
"s__Fannyhessea_vaginae|t__SGB991"	NA	1	1	"diagnosis"
"s__Fenollaria_massiliensis|t__SGB6716"	NA	1	1	"diagnosis"
"s__Fenollaria_timonensis|t__SGB6719"	NA	1	1	"diagnosis"
"s__Finegoldia_magna|t__SGB6683"	NA	1	1	"diagnosis"
"s__Firmicutes_bacterium_AF16_15|t__SGB4993"	-0.837860704887367	0.0580513369383913	0.516685780013841	"diagnosis"
"s__Firmicutes_bacterium_AM41_11|t__SGB6817"	NA	1	1	"diagnosis"
"s__Flavonifractor_plautii|t__SGB15132"	0.107418658126397	0.715091186079132	1	"diagnosis"
"s__Flavonifractor_sp_An10|t__SGB15134"	-3.42459035479031	1	1	"diagnosis"
"s__Flavonifractor_sp_An100|t__SGB15160"	NA	1	1	"diagnosis"
"s__Formosa_SGB1638|t__SGB1638"	NA	1	1	"diagnosis"
"s__Fournierella_massiliensis|t__SGB15280"	NA	1	1	"diagnosis"
"s__Fretibacterium_fastidiosum|t__SGB17525"	NA	1	1	"diagnosis"
"s__Frisingicoccus_caecimuris|t__SGB4675"	NA	1	1	"diagnosis"
"s__Frisingicoccus_SGB4673|t__SGB4673"	NA	1	1	"diagnosis"
"s__Fructilactobacillus_sanfranciscensis|t__SGB7164"	NA	1	1	"diagnosis"
"s__Fusicatenibacter_saccharivorans|t__SGB4874"	-0.28728075236948	0.250612143686826	1	"diagnosis"
"s__Fusobacterium_gonidiaformans|t__SGB5985"	NA	1	1	"diagnosis"
"s__Fusobacterium_mortiferum|t__SGB6031"	NA	1	1	"diagnosis"
"s__Fusobacterium_nucleatum|t__SGB6001"	NA	1	1	"diagnosis"
"s__Fusobacterium_nucleatum|t__SGB6007"	NA	1	1	"diagnosis"
"s__Fusobacterium_nucleatum|t__SGB6011"	NA	1	1	"diagnosis"
"s__Fusobacterium_nucleatum|t__SGB6013"	NA	1	1	"diagnosis"
